"","Country_Region","Province_State","date","confirmed","deaths","recovered","active"
"1"," Azerbaijan","",2020-02-28,1,0,0,NA
"2","Afghanistan","",2020-02-24,1,0,0,NA
"3","Afghanistan","",2020-02-25,1,0,0,NA
"4","Afghanistan","",2020-02-26,1,0,0,NA
"5","Afghanistan","",2020-02-27,1,0,0,NA
"6","Afghanistan","",2020-02-28,1,0,0,NA
"7","Afghanistan","",2020-02-29,1,0,0,NA
"8","Afghanistan","",2020-03-01,1,0,0,NA
"9","Afghanistan","",2020-03-02,1,0,0,NA
"10","Afghanistan","",2020-03-03,1,0,0,NA
"11","Afghanistan","",2020-03-04,1,0,0,NA
"12","Afghanistan","",2020-03-05,1,0,0,NA
"13","Afghanistan","",2020-03-06,1,0,0,NA
"14","Afghanistan","",2020-03-07,1,0,0,NA
"15","Afghanistan","",2020-03-08,4,0,0,NA
"16","Afghanistan","",2020-03-09,4,0,0,NA
"17","Afghanistan","",2020-03-10,5,0,0,NA
"18","Afghanistan","",2020-03-11,7,0,0,NA
"19","Afghanistan","",2020-03-12,7,0,0,NA
"20","Afghanistan","",2020-03-13,7,0,0,NA
"21","Afghanistan","",2020-03-14,11,0,0,NA
"22","Afghanistan","",2020-03-15,16,0,0,NA
"23","Afghanistan","",2020-03-16,21,0,1,NA
"24","Afghanistan","",2020-03-17,22,0,1,NA
"25","Afghanistan","",2020-03-18,22,0,1,NA
"26","Afghanistan","",2020-03-19,22,0,1,NA
"27","Afghanistan","",2020-03-20,24,0,1,NA
"28","Afghanistan","",2020-03-21,24,0,1,NA
"29","Afghanistan","",2020-03-22,40,1,1,38
"30","Afghanistan","",2020-03-23,40,1,1,38
"31","Afghanistan","",2020-03-24,74,1,1,72
"32","Afghanistan","",2020-03-25,84,2,2,80
"33","Afghanistan","",2020-03-26,94,4,2,88
"34","Afghanistan","",2020-03-27,110,4,2,104
"35","Albania","",2020-03-09,2,0,0,NA
"36","Albania","",2020-03-10,10,0,0,NA
"37","Albania","",2020-03-11,12,1,0,NA
"38","Albania","",2020-03-12,23,1,0,NA
"39","Albania","",2020-03-13,33,1,0,NA
"40","Albania","",2020-03-14,38,1,0,NA
"41","Albania","",2020-03-15,42,1,0,NA
"42","Albania","",2020-03-16,51,1,0,NA
"43","Albania","",2020-03-17,55,1,0,NA
"44","Albania","",2020-03-18,59,2,0,NA
"45","Albania","",2020-03-19,64,2,0,NA
"46","Albania","",2020-03-20,70,2,0,NA
"47","Albania","",2020-03-21,76,2,2,NA
"48","Albania","",2020-03-22,89,2,2,85
"49","Albania","",2020-03-23,104,4,2,98
"50","Albania","",2020-03-24,123,5,10,108
"51","Albania","",2020-03-25,146,5,17,124
"52","Albania","",2020-03-26,174,6,17,151
"53","Albania","",2020-03-27,186,8,31,147
"54","Algeria","",2020-02-25,1,0,0,NA
"55","Algeria","",2020-02-26,1,0,0,NA
"56","Algeria","",2020-02-27,1,0,0,NA
"57","Algeria","",2020-02-28,1,0,0,NA
"58","Algeria","",2020-02-29,1,0,0,NA
"59","Algeria","",2020-03-01,1,0,0,NA
"60","Algeria","",2020-03-02,3,0,0,NA
"61","Algeria","",2020-03-03,5,0,0,NA
"62","Algeria","",2020-03-04,12,0,0,NA
"63","Algeria","",2020-03-05,12,0,0,NA
"64","Algeria","",2020-03-06,17,0,0,NA
"65","Algeria","",2020-03-07,17,0,0,NA
"66","Algeria","",2020-03-08,19,0,0,NA
"67","Algeria","",2020-03-09,20,0,0,NA
"68","Algeria","",2020-03-10,20,0,0,NA
"69","Algeria","",2020-03-11,20,0,0,NA
"70","Algeria","",2020-03-12,24,1,8,NA
"71","Algeria","",2020-03-13,26,2,8,NA
"72","Algeria","",2020-03-14,37,3,12,NA
"73","Algeria","",2020-03-15,48,4,12,NA
"74","Algeria","",2020-03-16,54,4,12,NA
"75","Algeria","",2020-03-17,60,4,12,NA
"76","Algeria","",2020-03-18,74,7,12,NA
"77","Algeria","",2020-03-19,87,9,32,NA
"78","Algeria","",2020-03-20,90,11,32,NA
"79","Algeria","",2020-03-21,139,15,32,NA
"80","Algeria","",2020-03-22,201,17,65,119
"81","Algeria","",2020-03-23,230,17,65,148
"82","Algeria","",2020-03-24,264,19,24,221
"83","Algeria","",2020-03-25,302,21,65,216
"84","Algeria","",2020-03-26,367,25,29,313
"85","Algeria","",2020-03-27,409,26,29,354
"86","Andorra","",2020-03-02,1,0,0,NA
"87","Andorra","",2020-03-03,1,0,0,NA
"88","Andorra","",2020-03-04,1,0,0,NA
"89","Andorra","",2020-03-05,1,0,0,NA
"90","Andorra","",2020-03-06,1,0,0,NA
"91","Andorra","",2020-03-07,1,0,0,NA
"92","Andorra","",2020-03-08,1,0,0,NA
"93","Andorra","",2020-03-09,1,0,0,NA
"94","Andorra","",2020-03-10,1,0,0,NA
"95","Andorra","",2020-03-11,1,0,0,NA
"96","Andorra","",2020-03-12,1,0,1,NA
"97","Andorra","",2020-03-13,1,0,0,NA
"98","Andorra","",2020-03-14,1,0,1,NA
"99","Andorra","",2020-03-15,1,0,1,NA
"100","Andorra","",2020-03-16,2,0,1,NA
"101","Andorra","",2020-03-17,39,0,1,NA
"102","Andorra","",2020-03-18,39,0,1,NA
"103","Andorra","",2020-03-19,53,0,1,NA
"104","Andorra","",2020-03-20,75,0,1,NA
"105","Andorra","",2020-03-21,88,0,1,NA
"106","Andorra","",2020-03-22,113,1,1,111
"107","Andorra","",2020-03-23,133,1,1,131
"108","Andorra","",2020-03-24,164,1,1,162
"109","Andorra","",2020-03-25,188,1,1,186
"110","Andorra","",2020-03-26,224,3,1,220
"111","Andorra","",2020-03-27,267,3,1,263
"112","Angola","",2020-03-20,1,0,0,NA
"113","Angola","",2020-03-21,2,0,0,NA
"114","Angola","",2020-03-22,2,0,0,2
"115","Angola","",2020-03-23,3,0,0,3
"116","Angola","",2020-03-24,3,0,0,3
"117","Angola","",2020-03-25,3,0,0,3
"118","Angola","",2020-03-26,4,0,0,4
"119","Angola","",2020-03-27,4,0,0,4
"120","Antigua and Barbuda","",2020-03-13,1,0,0,NA
"121","Antigua and Barbuda","",2020-03-14,1,0,0,NA
"122","Antigua and Barbuda","",2020-03-15,1,0,0,NA
"123","Antigua and Barbuda","",2020-03-16,1,0,0,NA
"124","Antigua and Barbuda","",2020-03-17,1,0,0,NA
"125","Antigua and Barbuda","",2020-03-18,1,0,0,NA
"126","Antigua and Barbuda","",2020-03-19,1,0,0,NA
"127","Antigua and Barbuda","",2020-03-20,1,0,0,NA
"128","Antigua and Barbuda","",2020-03-21,1,0,0,NA
"129","Antigua and Barbuda","",2020-03-22,1,0,0,1
"130","Antigua and Barbuda","",2020-03-23,3,0,0,3
"131","Antigua and Barbuda","",2020-03-24,3,0,0,3
"132","Antigua and Barbuda","",2020-03-25,3,0,0,3
"133","Antigua and Barbuda","",2020-03-26,7,0,0,7
"134","Antigua and Barbuda","",2020-03-27,7,0,0,7
"135","Argentina","",2020-03-03,1,0,0,NA
"136","Argentina","",2020-03-04,1,0,0,NA
"137","Argentina","",2020-03-05,1,0,0,NA
"138","Argentina","",2020-03-06,2,0,0,NA
"139","Argentina","",2020-03-07,8,0,0,NA
"140","Argentina","",2020-03-08,12,1,0,NA
"141","Argentina","",2020-03-09,12,1,0,NA
"142","Argentina","",2020-03-10,17,1,0,NA
"143","Argentina","",2020-03-11,19,1,0,NA
"144","Argentina","",2020-03-12,19,1,0,NA
"145","Argentina","",2020-03-13,31,2,0,NA
"146","Argentina","",2020-03-14,34,2,1,NA
"147","Argentina","",2020-03-15,45,2,1,NA
"148","Argentina","",2020-03-16,56,2,1,NA
"149","Argentina","",2020-03-17,68,2,3,NA
"150","Argentina","",2020-03-18,79,2,3,NA
"151","Argentina","",2020-03-19,97,3,3,NA
"152","Argentina","",2020-03-20,128,3,3,NA
"153","Argentina","",2020-03-21,158,4,3,NA
"154","Argentina","",2020-03-22,266,4,27,235
"155","Argentina","",2020-03-23,266,4,27,235
"156","Argentina","",2020-03-24,387,6,52,329
"157","Argentina","",2020-03-25,387,8,52,327
"158","Argentina","",2020-03-26,502,9,63,430
"159","Argentina","",2020-03-27,589,13,72,504
"160","Armenia","",2020-03-01,1,0,0,NA
"161","Armenia","",2020-03-02,1,0,0,NA
"162","Armenia","",2020-03-03,1,0,0,NA
"163","Armenia","",2020-03-04,1,0,0,NA
"164","Armenia","",2020-03-05,1,0,0,NA
"165","Armenia","",2020-03-06,1,0,0,NA
"166","Armenia","",2020-03-07,1,0,0,NA
"167","Armenia","",2020-03-08,1,0,0,NA
"168","Armenia","",2020-03-09,1,0,0,NA
"169","Armenia","",2020-03-10,1,0,0,NA
"170","Armenia","",2020-03-11,1,0,0,NA
"171","Armenia","",2020-03-12,4,0,0,NA
"172","Armenia","",2020-03-13,8,0,0,NA
"173","Armenia","",2020-03-14,18,0,0,NA
"174","Armenia","",2020-03-15,26,0,0,NA
"175","Armenia","",2020-03-16,52,0,0,NA
"176","Armenia","",2020-03-17,78,0,1,NA
"177","Armenia","",2020-03-18,84,0,1,NA
"178","Armenia","",2020-03-19,115,0,1,NA
"179","Armenia","",2020-03-20,136,0,1,NA
"180","Armenia","",2020-03-21,160,0,1,NA
"181","Armenia","",2020-03-22,194,0,2,192
"182","Armenia","",2020-03-23,235,0,2,233
"183","Armenia","",2020-03-24,249,0,14,235
"184","Armenia","",2020-03-25,265,0,16,249
"185","Armenia","",2020-03-26,290,1,18,271
"186","Armenia","",2020-03-27,329,1,28,300
"187","Aruba","",2020-03-13,2,0,0,NA
"188","Aruba","",2020-03-14,2,0,0,NA
"189","Aruba","",2020-03-15,2,0,0,NA
"190","Aruba","",2020-03-16,2,0,0,NA
"191","Aruba","",2020-03-17,3,0,0,NA
"192","Aruba","",2020-03-18,4,0,0,NA
"193","Aruba","",2020-03-19,4,0,0,NA
"194","Australia","",2020-01-23,0,0,0,NA
"195","Australia","",2020-01-25,4,0,0,NA
"196","Australia","",2020-01-26,4,0,0,NA
"197","Australia","Australian Capital Territory",2020-03-13,1,0,0,NA
"198","Australia","Australian Capital Territory",2020-03-14,1,0,0,NA
"199","Australia","Australian Capital Territory",2020-03-15,1,0,0,NA
"200","Australia","Australian Capital Territory",2020-03-16,2,0,0,NA
"201","Australia","Australian Capital Territory",2020-03-17,2,0,0,NA
"202","Australia","Australian Capital Territory",2020-03-18,3,0,0,NA
"203","Australia","Australian Capital Territory",2020-03-19,4,0,0,NA
"204","Australia","Australian Capital Territory",2020-03-20,6,0,0,NA
"205","Australia","Australian Capital Territory",2020-03-21,9,0,0,NA
"206","Australia","Australian Capital Territory",2020-03-22,19,0,0,19
"207","Australia","Australian Capital Territory",2020-03-23,32,0,0,32
"208","Australia","Australian Capital Territory",2020-03-24,39,0,0,39
"209","Australia","Australian Capital Territory",2020-03-25,39,0,0,39
"210","Australia","Australian Capital Territory",2020-03-26,53,0,1,52
"211","Australia","Australian Capital Territory",2020-03-27,62,0,1,61
"212","Australia","External territories",2020-03-22,0,0,0,0
"213","Australia","From Diamond Princess",2020-02-21,4,0,0,NA
"214","Australia","From Diamond Princess",2020-02-22,7,0,0,NA
"215","Australia","From Diamond Princess",2020-02-23,7,0,0,NA
"216","Australia","From Diamond Princess",2020-02-24,7,0,0,NA
"217","Australia","From Diamond Princess",2020-02-25,7,0,0,NA
"218","Australia","From Diamond Princess",2020-02-26,7,0,0,NA
"219","Australia","From Diamond Princess",2020-02-27,8,0,0,NA
"220","Australia","From Diamond Princess",2020-02-28,8,0,0,NA
"221","Australia","From Diamond Princess",2020-02-29,0,0,0,NA
"222","Australia","From Diamond Princess",2020-03-01,0,0,0,NA
"223","Australia","From Diamond Princess",2020-03-02,0,0,0,NA
"224","Australia","From Diamond Princess",2020-03-03,0,0,0,NA
"225","Australia","From Diamond Princess",2020-03-04,0,0,0,NA
"226","Australia","From Diamond Princess",2020-03-05,0,0,0,NA
"227","Australia","From Diamond Princess",2020-03-06,0,0,0,NA
"228","Australia","From Diamond Princess",2020-03-07,0,0,0,NA
"229","Australia","From Diamond Princess",2020-03-08,0,0,0,NA
"230","Australia","From Diamond Princess",2020-03-09,0,0,0,NA
"231","Australia","From Diamond Princess",2020-03-10,0,0,0,NA
"232","Australia","From Diamond Princess",2020-03-11,0,0,0,NA
"233","Australia","From Diamond Princess",2020-03-12,0,0,0,NA
"234","Australia","From Diamond Princess",2020-03-13,0,0,0,NA
"235","Australia","From Diamond Princess",2020-03-14,0,0,0,NA
"236","Australia","From Diamond Princess",2020-03-15,0,0,0,NA
"237","Australia","From Diamond Princess",2020-03-16,0,0,0,NA
"238","Australia","From Diamond Princess",2020-03-17,0,0,0,NA
"239","Australia","From Diamond Princess",2020-03-18,0,0,0,NA
"240","Australia","From Diamond Princess",2020-03-19,0,0,0,NA
"241","Australia","From Diamond Princess",2020-03-20,0,0,0,NA
"242","Australia","From Diamond Princess",2020-03-21,0,0,0,NA
"243","Australia","Jervis Bay Territory",2020-03-22,0,0,0,0
"244","Australia","New South Wales",2020-01-27,4,0,0,NA
"245","Australia","New South Wales",2020-01-28,4,0,0,NA
"246","Australia","New South Wales",2020-01-29,4,0,0,NA
"247","Australia","New South Wales",2020-01-30,4,0,2,NA
"248","Australia","New South Wales",2020-01-31,4,0,2,NA
"249","Australia","New South Wales",2020-02-01,4,0,2,NA
"250","Australia","New South Wales",2020-02-02,4,0,2,NA
"251","Australia","New South Wales",2020-02-03,4,0,2,NA
"252","Australia","New South Wales",2020-02-04,4,0,2,NA
"253","Australia","New South Wales",2020-02-05,4,0,2,NA
"254","Australia","New South Wales",2020-02-06,4,0,2,NA
"255","Australia","New South Wales",2020-02-07,4,0,2,NA
"256","Australia","New South Wales",2020-02-08,4,0,2,NA
"257","Australia","New South Wales",2020-02-09,4,0,2,NA
"258","Australia","New South Wales",2020-02-10,4,0,2,NA
"259","Australia","New South Wales",2020-02-11,4,0,2,NA
"260","Australia","New South Wales",2020-02-12,4,0,2,NA
"261","Australia","New South Wales",2020-02-13,4,0,4,NA
"262","Australia","New South Wales",2020-02-14,4,0,4,NA
"263","Australia","New South Wales",2020-02-15,4,0,4,NA
"264","Australia","New South Wales",2020-02-16,4,0,4,NA
"265","Australia","New South Wales",2020-02-17,4,0,4,NA
"266","Australia","New South Wales",2020-02-18,4,0,4,NA
"267","Australia","New South Wales",2020-02-19,4,0,4,NA
"268","Australia","New South Wales",2020-02-20,4,0,4,NA
"269","Australia","New South Wales",2020-02-21,4,0,4,NA
"270","Australia","New South Wales",2020-02-22,4,0,4,NA
"271","Australia","New South Wales",2020-02-23,4,0,4,NA
"272","Australia","New South Wales",2020-02-24,4,0,4,NA
"273","Australia","New South Wales",2020-02-25,4,0,4,NA
"274","Australia","New South Wales",2020-02-26,4,0,4,NA
"275","Australia","New South Wales",2020-02-27,4,0,4,NA
"276","Australia","New South Wales",2020-02-28,4,0,4,NA
"277","Australia","New South Wales",2020-02-29,4,0,4,NA
"278","Australia","New South Wales",2020-03-01,6,0,4,NA
"279","Australia","New South Wales",2020-03-02,6,0,4,NA
"280","Australia","New South Wales",2020-03-03,13,0,4,NA
"281","Australia","New South Wales",2020-03-04,22,1,4,NA
"282","Australia","New South Wales",2020-03-05,22,1,4,NA
"283","Australia","New South Wales",2020-03-06,26,1,4,NA
"284","Australia","New South Wales",2020-03-07,28,1,4,NA
"285","Australia","New South Wales",2020-03-08,38,3,4,NA
"286","Australia","New South Wales",2020-03-09,48,3,4,NA
"287","Australia","New South Wales",2020-03-10,55,2,4,NA
"288","Australia","New South Wales",2020-03-11,65,2,4,NA
"289","Australia","New South Wales",2020-03-12,65,2,4,NA
"290","Australia","New South Wales",2020-03-13,92,2,4,NA
"291","Australia","New South Wales",2020-03-14,112,2,4,NA
"292","Australia","New South Wales",2020-03-15,134,2,4,NA
"293","Australia","New South Wales",2020-03-16,171,2,4,NA
"294","Australia","New South Wales",2020-03-17,210,4,4,NA
"295","Australia","New South Wales",2020-03-18,267,5,4,NA
"296","Australia","New South Wales",2020-03-19,307,5,4,NA
"297","Australia","New South Wales",2020-03-20,353,6,4,NA
"298","Australia","New South Wales",2020-03-21,436,6,4,NA
"299","Australia","New South Wales",2020-03-22,669,6,4,659
"300","Australia","New South Wales",2020-03-23,669,6,4,659
"301","Australia","New South Wales",2020-03-24,818,7,4,807
"302","Australia","New South Wales",2020-03-25,1029,7,4,1018
"303","Australia","New South Wales",2020-03-26,1219,7,4,1208
"304","Australia","New South Wales",2020-03-27,1405,7,4,1394
"305","Australia","Northern Territory",2020-03-04,1,0,0,NA
"306","Australia","Northern Territory",2020-03-05,1,0,0,NA
"307","Australia","Northern Territory",2020-03-06,0,0,0,NA
"308","Australia","Northern Territory",2020-03-07,0,0,0,NA
"309","Australia","Northern Territory",2020-03-08,0,0,0,NA
"310","Australia","Northern Territory",2020-03-09,0,0,0,NA
"311","Australia","Northern Territory",2020-03-10,1,0,0,NA
"312","Australia","Northern Territory",2020-03-11,1,0,0,NA
"313","Australia","Northern Territory",2020-03-12,1,0,0,NA
"314","Australia","Northern Territory",2020-03-13,1,0,0,NA
"315","Australia","Northern Territory",2020-03-14,1,0,0,NA
"316","Australia","Northern Territory",2020-03-15,1,0,0,NA
"317","Australia","Northern Territory",2020-03-16,1,0,0,NA
"318","Australia","Northern Territory",2020-03-17,1,0,0,NA
"319","Australia","Northern Territory",2020-03-18,1,0,0,NA
"320","Australia","Northern Territory",2020-03-19,1,0,0,NA
"321","Australia","Northern Territory",2020-03-20,3,0,0,NA
"322","Australia","Northern Territory",2020-03-21,3,0,0,NA
"323","Australia","Northern Territory",2020-03-22,5,0,0,5
"324","Australia","Northern Territory",2020-03-23,5,0,0,5
"325","Australia","Northern Territory",2020-03-24,6,0,0,6
"326","Australia","Northern Territory",2020-03-25,6,0,0,6
